vocab.size = 25911
batch_acm 11299, loss 3.031, acc 0.405, nll 3.031, ppl 10.932, x_acm 451479, lr 0.000339, time 132
batch_acm 11399, loss 2.935, acc 0.412, nll 2.936, ppl 10.369, x_acm 455452, lr 0.000338, time 21
batch_acm 11499, loss 2.865, acc 0.421, nll 2.865, ppl 9.968, x_acm 459452, lr 0.000337, time 56
batch_acm 11599, loss 2.791, acc 0.430, nll 2.791, ppl 9.460, x_acm 463452, lr 0.000335, time 90
batch_acm 11699, loss 2.822, acc 0.427, nll 2.822, ppl 9.681, x_acm 467452, lr 0.000334, time 124
batch_acm 11799, loss 2.792, acc 0.434, nll 2.788, ppl 9.659, x_acm 471424, lr 0.000332, time 15
batch_acm 11899, loss 2.743, acc 0.446, nll 2.743, ppl 9.702, x_acm 475424, lr 0.000331, time 49
batch_acm 11999, loss 2.696, acc 0.452, nll 2.696, ppl 9.315, x_acm 479424, lr 0.000329, time 84
batch_acm 12099, loss 2.688, acc 0.454, nll 2.688, ppl 9.233, x_acm 483424, lr 0.000328, time 118
batch_acm 12199, loss 2.832, acc 0.434, nll 2.833, ppl 10.003, x_acm 487392, lr 0.000327, time 9
batch_acm 12299, loss 2.996, acc 0.404, nll 2.996, ppl 10.566, x_acm 491392, lr 0.000325, time 43
batch_acm 12399, loss 2.977, acc 0.408, nll 2.977, ppl 10.450, x_acm 495392, lr 0.000324, time 77
batch_acm 12499, loss 2.915, acc 0.414, nll 2.915, ppl 10.055, x_acm 499392, lr 0.000323, time 112
batch_acm 12599, loss 2.927, acc 0.413, nll 2.927, ppl 10.160, x_acm 503374, lr 0.000321, time 2
batch_acm 12699, loss 2.893, acc 0.422, nll 2.893, ppl 10.132, x_acm 507374, lr 0.000320, time 36
batch_acm 12799, loss 2.878, acc 0.426, nll 2.878, ppl 10.028, x_acm 511374, lr 0.000319, time 70
batch_acm 12899, loss 2.827, acc 0.432, nll 2.827, ppl 9.767, x_acm 515374, lr 0.000318, time 105
batch_acm 12999, loss 2.793, acc 0.437, nll 2.793, ppl 9.513, x_acm 519374, lr 0.000316, time 139
batch_acm 13099, loss 2.888, acc 0.423, nll 2.887, ppl 9.937, x_acm 523355, lr 0.000315, time 29
batch_acm 13199, loss 2.846, acc 0.429, nll 2.846, ppl 9.717, x_acm 527355, lr 0.000314, time 63
batch_acm 13299, loss 2.862, acc 0.427, nll 2.862, ppl 9.757, x_acm 531355, lr 0.000313, time 98
batch_acm 13399, loss 2.844, acc 0.430, nll 2.844, ppl 9.756, x_acm 535355, lr 0.000312, time 132
batch_acm 13499, loss 2.896, acc 0.424, nll 2.892, ppl 9.933, x_acm 539322, lr 0.000311, time 22
batch_acm 13599, loss 2.877, acc 0.427, nll 2.877, ppl 9.847, x_acm 543322, lr 0.000309, time 56
batch_acm 13699, loss 2.868, acc 0.428, nll 2.868, ppl 9.815, x_acm 547322, lr 0.000308, time 90
batch_acm 13799, loss 2.840, acc 0.431, nll 2.840, ppl 9.521, x_acm 551322, lr 0.000307, time 125
batch_acm 13899, loss 2.881, acc 0.425, nll 2.882, ppl 9.712, x_acm 555314, lr 0.000306, time 14
batch_acm 13999, loss 2.897, acc 0.421, nll 2.897, ppl 9.921, x_acm 559314, lr 0.000305, time 49
batch_acm 14099, loss 2.933, acc 0.416, nll 2.933, ppl 10.122, x_acm 563314, lr 0.000304, time 83
batch_acm 14199, loss 2.894, acc 0.422, nll 2.894, ppl 9.728, x_acm 567314, lr 0.000303, time 117
batch_acm 14299, loss 2.892, acc 0.424, nll 2.887, ppl 9.739, x_acm 571280, lr 0.000302, time 7
batch_acm 14399, loss 2.887, acc 0.424, nll 2.887, ppl 9.730, x_acm 575280, lr 0.000301, time 41
batch_acm 14499, loss 2.863, acc 0.427, nll 2.863, ppl 9.669, x_acm 579280, lr 0.000300, time 76
batch_acm 14599, loss 2.822, acc 0.430, nll 2.822, ppl 9.225, x_acm 583280, lr 0.000299, time 110
batch_acm 14699, loss 2.831, acc 0.432, nll 2.831, ppl 9.410, x_acm 587276, lr 0.000298, time 0
batch_acm 14799, loss 2.896, acc 0.424, nll 2.896, ppl 9.744, x_acm 591276, lr 0.000297, time 34
batch_acm 14899, loss 2.842, acc 0.429, nll 2.842, ppl 9.412, x_acm 595276, lr 0.000296, time 69
batch_acm 14999, loss 2.876, acc 0.426, nll 2.876, ppl 9.588, x_acm 599276, lr 0.000295, time 103
batch_acm 15099, loss 2.892, acc 0.424, nll 2.892, ppl 9.714, x_acm 603276, lr 0.000294, time 138
batch_acm 15199, loss 2.951, acc 0.418, nll 2.948, ppl 10.177, x_acm 607237, lr 0.000293, time 27
batch_acm 15299, loss 2.915, acc 0.421, nll 2.915, ppl 9.911, x_acm 611237, lr 0.000292, time 61
batch_acm 15399, loss 2.901, acc 0.425, nll 2.901, ppl 9.828, x_acm 615237, lr 0.000291, time 96
batch_acm 15499, loss 2.864, acc 0.430, nll 2.864, ppl 9.679, x_acm 619237, lr 0.000290, time 130
batch_acm 15599, loss 2.802, acc 0.433, nll 2.802, ppl 9.256, x_acm 623234, lr 0.000289, time 20
batch_acm 15699, loss 2.760, acc 0.439, nll 2.760, ppl 9.124, x_acm 627234, lr 0.000288, time 54
batch_acm 15799, loss 2.745, acc 0.441, nll 2.745, ppl 8.919, x_acm 631234, lr 0.000287, time 89
batch_acm 15899, loss 2.663, acc 0.451, nll 2.663, ppl 8.373, x_acm 635234, lr 0.000286, time 123
batch_acm 15999, loss 2.813, acc 0.432, nll 2.826, ppl 9.438, x_acm 639195, lr 0.000285, time 14
batch_acm 16099, loss 2.964, acc 0.415, nll 2.964, ppl 10.092, x_acm 643195, lr 0.000284, time 48
batch_acm 16199, loss 2.943, acc 0.419, nll 2.943, ppl 10.272, x_acm 647195, lr 0.000284, time 82
batch_acm 16299, loss 2.966, acc 0.417, nll 2.966, ppl 10.085, x_acm 651195, lr 0.000283, time 117
batch_acm 16399, loss 2.941, acc 0.420, nll 2.941, ppl 9.931, x_acm 655191, lr 0.000282, time 7
batch_acm 16499, loss 2.857, acc 0.425, nll 2.857, ppl 9.475, x_acm 659191, lr 0.000281, time 41
batch_acm 16599, loss 2.872, acc 0.426, nll 2.872, ppl 9.494, x_acm 663191, lr 0.000280, time 76
batch_acm 16699, loss 2.868, acc 0.426, nll 2.868, ppl 9.539, x_acm 667191, lr 0.000279, time 110
batch_acm 16799, loss 2.828, acc 0.433, nll 2.826, ppl 9.265, x_acm 671170, lr 0.000278, time 144
batch_acm 16899, loss 2.705, acc 0.446, nll 2.705, ppl 8.781, x_acm 675170, lr 0.000278, time 34
batch_acm 16999, loss 2.673, acc 0.452, nll 2.673, ppl 8.657, x_acm 679170, lr 0.000277, time 68
batch_acm 17099, loss 2.695, acc 0.450, nll 2.695, ppl 8.760, x_acm 683170, lr 0.000276, time 102
batch_acm 17199, loss 2.683, acc 0.452, nll 2.683, ppl 8.623, x_acm 687170, lr 0.000275, time 137
batch_acm 17299, loss 2.755, acc 0.442, nll 2.756, ppl 9.034, x_acm 691145, lr 0.000274, time 28
batch_acm 17399, loss 2.760, acc 0.442, nll 2.760, ppl 9.126, x_acm 695145, lr 0.000274, time 62
batch_acm 17499, loss 2.704, acc 0.448, nll 2.704, ppl 8.663, x_acm 699145, lr 0.000273, time 96
batch_acm 17599, loss 2.728, acc 0.449, nll 2.728, ppl 8.883, x_acm 703145, lr 0.000272, time 130
batch_acm 17699, loss 2.747, acc 0.441, nll 2.746, ppl 8.893, x_acm 707130, lr 0.000271, time 21
batch_acm 17799, loss 2.751, acc 0.442, nll 2.751, ppl 9.011, x_acm 711130, lr 0.000270, time 55
batch_acm 17899, loss 2.764, acc 0.441, nll 2.764, ppl 9.074, x_acm 715130, lr 0.000270, time 90
batch_acm 17999, loss 2.735, acc 0.445, nll 2.735, ppl 8.905, x_acm 719130, lr 0.000269, time 124
batch_acm 18099, loss 2.685, acc 0.448, nll 2.685, ppl 8.601, x_acm 723122, lr 0.000268, time 15
batch_acm 18199, loss 2.637, acc 0.450, nll 2.637, ppl 8.431, x_acm 727122, lr 0.000267, time 49
batch_acm 18299, loss 2.596, acc 0.456, nll 2.596, ppl 8.154, x_acm 731122, lr 0.000267, time 83
batch_acm 18399, loss 2.611, acc 0.457, nll 2.611, ppl 8.181, x_acm 735122, lr 0.000266, time 118
batch_acm 18499, loss 2.645, acc 0.451, nll 2.645, ppl 8.520, x_acm 739115, lr 0.000265, time 9
batch_acm 18599, loss 2.826, acc 0.434, nll 2.826, ppl 9.346, x_acm 743115, lr 0.000265, time 43
batch_acm 18699, loss 2.809, acc 0.437, nll 2.809, ppl 9.319, x_acm 747115, lr 0.000264, time 78
batch_acm 18799, loss 2.772, acc 0.442, nll 2.772, ppl 9.119, x_acm 751115, lr 0.000263, time 112
