vocab.size = 25911
batch_acm 13799, loss 3.048, acc 0.394, nll 3.048, ppl 11.546, x_acm 275862, lr 0.000307
batch_acm 13899, loss 3.070, acc 0.392, nll 3.070, ppl 11.459, x_acm 277862, lr 0.000306
batch_acm 13999, loss 3.072, acc 0.392, nll 3.072, ppl 11.395, x_acm 279862, lr 0.000305
batch_acm 14099, loss 3.061, acc 0.396, nll 3.061, ppl 11.395, x_acm 281862, lr 0.000304
batch_acm 14199, loss 3.003, acc 0.401, nll 3.003, ppl 11.296, x_acm 283862, lr 0.000303
batch_acm 14299, loss 3.027, acc 0.397, nll 3.029, ppl 11.119, x_acm 285852, lr 0.000302
batch_acm 14399, loss 3.037, acc 0.396, nll 3.037, ppl 11.366, x_acm 287852, lr 0.000301
batch_acm 14499, loss 3.049, acc 0.395, nll 3.049, ppl 11.393, x_acm 289852, lr 0.000300
batch_acm 14599, loss 2.990, acc 0.403, nll 2.990, ppl 10.918, x_acm 291852, lr 0.000299
batch_acm 14699, loss 3.010, acc 0.402, nll 3.010, ppl 11.196, x_acm 293852, lr 0.000298
batch_acm 14799, loss 3.004, acc 0.401, nll 3.004, ppl 10.958, x_acm 295852, lr 0.000297
batch_acm 14899, loss 2.979, acc 0.407, nll 2.979, ppl 10.796, x_acm 297852, lr 0.000296
batch_acm 14999, loss 2.962, acc 0.407, nll 2.962, ppl 10.576, x_acm 299852, lr 0.000295
batch_acm 15099, loss 3.016, acc 0.400, nll 3.016, ppl 11.087, x_acm 301852, lr 0.000294
batch_acm 15199, loss 3.016, acc 0.402, nll 3.020, ppl 11.255, x_acm 303834, lr 0.000293
batch_acm 15299, loss 3.010, acc 0.404, nll 3.010, ppl 11.182, x_acm 305834, lr 0.000292
batch_acm 15399, loss 2.954, acc 0.413, nll 2.954, ppl 10.944, x_acm 307834, lr 0.000291
batch_acm 15499, loss 2.964, acc 0.412, nll 2.964, ppl 10.854, x_acm 309834, lr 0.000290
batch_acm 15599, loss 2.944, acc 0.414, nll 2.944, ppl 10.648, x_acm 311834, lr 0.000289
batch_acm 15699, loss 2.962, acc 0.413, nll 2.962, ppl 10.868, x_acm 313834, lr 0.000288
batch_acm 15799, loss 2.923, acc 0.420, nll 2.923, ppl 10.740, x_acm 315834, lr 0.000287
batch_acm 15899, loss 2.932, acc 0.419, nll 2.932, ppl 10.794, x_acm 317834, lr 0.000286
batch_acm 15999, loss 3.008, acc 0.407, nll 3.009, ppl 11.202, x_acm 319833, lr 0.000285
batch_acm 16099, loss 3.036, acc 0.403, nll 3.036, ppl 11.350, x_acm 321833, lr 0.000284
batch_acm 16199, loss 3.048, acc 0.403, nll 3.048, ppl 11.353, x_acm 323833, lr 0.000284
batch_acm 16299, loss 3.025, acc 0.408, nll 3.025, ppl 11.299, x_acm 325833, lr 0.000283
batch_acm 16399, loss 2.974, acc 0.413, nll 2.974, ppl 10.833, x_acm 327833, lr 0.000282
batch_acm 16499, loss 2.988, acc 0.412, nll 2.988, ppl 10.917, x_acm 329833, lr 0.000281
batch_acm 16599, loss 2.992, acc 0.412, nll 2.992, ppl 11.289, x_acm 331833, lr 0.000280
batch_acm 16699, loss 2.983, acc 0.410, nll 2.983, ppl 10.770, x_acm 333833, lr 0.000279
batch_acm 16799, loss 2.998, acc 0.411, nll 2.997, ppl 11.043, x_acm 335830, lr 0.000278
batch_acm 16899, loss 3.119, acc 0.393, nll 3.119, ppl 11.624, x_acm 337830, lr 0.000278
batch_acm 16999, loss 3.113, acc 0.397, nll 3.113, ppl 11.500, x_acm 339830, lr 0.000277
batch_acm 17099, loss 3.091, acc 0.397, nll 3.091, ppl 11.621, x_acm 341830, lr 0.000276
batch_acm 17199, loss 3.128, acc 0.392, nll 3.128, ppl 11.490, x_acm 343830, lr 0.000275
batch_acm 17299, loss 3.103, acc 0.397, nll 3.103, ppl 11.284, x_acm 345830, lr 0.000274
batch_acm 17399, loss 3.090, acc 0.397, nll 3.090, ppl 11.232, x_acm 347830, lr 0.000274
batch_acm 17499, loss 3.093, acc 0.399, nll 3.093, ppl 11.350, x_acm 349830, lr 0.000273
batch_acm 17599, loss 3.039, acc 0.404, nll 3.039, ppl 10.941, x_acm 351830, lr 0.000272
batch_acm 17699, loss 3.005, acc 0.403, nll 3.009, ppl 10.817, x_acm 353815, lr 0.000271
batch_acm 17799, loss 2.994, acc 0.405, nll 2.994, ppl 10.660, x_acm 355815, lr 0.000270
batch_acm 17899, loss 2.974, acc 0.407, nll 2.974, ppl 10.474, x_acm 357815, lr 0.000270
batch_acm 17999, loss 2.949, acc 0.410, nll 2.949, ppl 10.342, x_acm 359815, lr 0.000269
batch_acm 18099, loss 2.913, acc 0.415, nll 2.913, ppl 10.071, x_acm 361815, lr 0.000268
batch_acm 18199, loss 2.932, acc 0.413, nll 2.932, ppl 10.212, x_acm 363815, lr 0.000267
batch_acm 18299, loss 2.940, acc 0.413, nll 2.940, ppl 10.348, x_acm 365815, lr 0.000267
batch_acm 18399, loss 2.933, acc 0.415, nll 2.933, ppl 10.359, x_acm 367815, lr 0.000266
batch_acm 18499, loss 2.950, acc 0.413, nll 2.950, ppl 10.385, x_acm 369814, lr 0.000265
batch_acm 18599, loss 2.928, acc 0.416, nll 2.928, ppl 10.326, x_acm 371814, lr 0.000265
batch_acm 18699, loss 2.902, acc 0.421, nll 2.902, ppl 10.185, x_acm 373814, lr 0.000264
batch_acm 18799, loss 2.900, acc 0.421, nll 2.900, ppl 10.058, x_acm 375814, lr 0.000263
batch_acm 18899, loss 2.910, acc 0.421, nll 2.910, ppl 10.372, x_acm 377814, lr 0.000262
batch_acm 18999, loss 2.918, acc 0.419, nll 2.918, ppl 10.256, x_acm 379814, lr 0.000262
batch_acm 19099, loss 2.906, acc 0.420, nll 2.906, ppl 10.130, x_acm 381814, lr 0.000261
batch_acm 19199, loss 2.895, acc 0.423, nll 2.895, ppl 10.190, x_acm 383814, lr 0.000260
batch_acm 19299, loss 2.888, acc 0.423, nll 2.888, ppl 9.881, x_acm 385814, lr 0.000260
batch_acm 19399, loss 2.978, acc 0.408, nll 2.977, ppl 10.537, x_acm 387802, lr 0.000259
batch_acm 19499, loss 2.962, acc 0.412, nll 2.962, ppl 10.773, x_acm 389802, lr 0.000258
batch_acm 19599, loss 2.918, acc 0.417, nll 2.918, ppl 10.265, x_acm 391802, lr 0.000258
batch_acm 19699, loss 2.944, acc 0.412, nll 2.944, ppl 10.255, x_acm 393802, lr 0.000257
batch_acm 19799, loss 2.918, acc 0.419, nll 2.918, ppl 10.157, x_acm 395802, lr 0.000256
batch_acm 19899, loss 2.920, acc 0.417, nll 2.920, ppl 10.189, x_acm 397802, lr 0.000256
batch_acm 19999, loss 2.906, acc 0.419, nll 2.906, ppl 10.073, x_acm 399802, lr 0.000255
validating: label epoch-0-acm-19999, batch_acm 19999, acc 0.403731, nll 3.137628, ppl 10.612240
batch_acm 20099, loss 2.918, acc 0.417, nll 2.918, ppl 9.929, x_acm 401802, lr 0.000255
batch_acm 20199, loss 3.000, acc 0.411, nll 2.982, ppl 10.660, x_acm 403783, lr 0.000254
batch_acm 20299, loss 2.972, acc 0.412, nll 2.972, ppl 10.625, x_acm 405783, lr 0.000253
batch_acm 20399, loss 3.000, acc 0.409, nll 3.000, ppl 10.755, x_acm 407783, lr 0.000253
batch_acm 20499, loss 2.966, acc 0.414, nll 2.966, ppl 10.331, x_acm 409783, lr 0.000252
batch_acm 20599, loss 2.978, acc 0.414, nll 2.978, ppl 10.473, x_acm 411783, lr 0.000251
batch_acm 20699, loss 2.904, acc 0.420, nll 2.904, ppl 10.123, x_acm 413783, lr 0.000251
batch_acm 20799, loss 2.859, acc 0.427, nll 2.859, ppl 9.817, x_acm 415783, lr 0.000250
batch_acm 20899, loss 2.939, acc 0.416, nll 2.939, ppl 10.536, x_acm 417783, lr 0.000250
batch_acm 20999, loss 2.929, acc 0.417, nll 2.937, ppl 10.330, x_acm 419766, lr 0.000249
batch_acm 21099, loss 2.903, acc 0.418, nll 2.903, ppl 10.131, x_acm 421766, lr 0.000248
batch_acm 21199, loss 2.841, acc 0.425, nll 2.841, ppl 9.692, x_acm 423766, lr 0.000248
batch_acm 21299, loss 2.862, acc 0.422, nll 2.862, ppl 10.016, x_acm 425766, lr 0.000247
batch_acm 21399, loss 2.823, acc 0.426, nll 2.823, ppl 9.603, x_acm 427766, lr 0.000247
batch_acm 21499, loss 2.880, acc 0.422, nll 2.880, ppl 9.890, x_acm 429766, lr 0.000246
batch_acm 21599, loss 2.835, acc 0.427, nll 2.835, ppl 9.767, x_acm 431766, lr 0.000246
batch_acm 21699, loss 2.828, acc 0.426, nll 2.828, ppl 9.557, x_acm 433766, lr 0.000245
batch_acm 21799, loss 2.807, acc 0.429, nll 2.807, ppl 9.510, x_acm 435766, lr 0.000244
batch_acm 21899, loss 2.934, acc 0.415, nll 2.936, ppl 10.189, x_acm 437759, lr 0.000244
batch_acm 21999, loss 2.965, acc 0.414, nll 2.965, ppl 10.259, x_acm 439759, lr 0.000243
